,church name,city,denomination,latitude,longitude,state,street address,zip code
1399,ST JAMES PRESBYTERIAN CHURCH,CHICAGO,PRESBYTERIAN CHURCH (USA),42.00110999972674,-87.6952100003412,IL,6554 N ROCKWELL ST,60645
1400,FAITH LUTHERAN CHURCH,BERWYN,LUTHERAN CHURCH - MISSOURI SYNOD,41.81644000020589,-87.7858700002003,IL,4135 SCOVILLE AVE,60402
1401,CITY OF ABUNDANT LIFE,CHICAGO,NON CLASSIFIED AFFILIATION,41.8668100000815,-87.6973500001024,IL,2836 W ROOSEVELT RD,60612
1402,CHRIST MISSION CENTER,CHICAGO,NON-DENOMINATIONAL CHURCHES,41.880970000165405,-87.73911999998796,IL,4524 W MADISON ST,60624
1403,WATSON PARK CHURCH,CHICAGO,UNITED CHURCH OF CHRIST,41.9435900001784,-87.78540999967169,IL,6337 W CORNELIA AVE,60634
1404,SAINT VIATOR PARISH,CHICAGO,ROMAN CATHOLIC CHURCH,41.94644000030581,-87.7316699999705,IL,4170 W ADDISON ST,60641
1405,ST CORNELIUS PARISH,CHICAGO,ROMAN CATHOLIC CHURCH,41.97594000003102,-87.7645299999595,IL,5205 N LIEB AVE,60630
1406,LINCOLNWOOD JEWISH CENTER,LINCOLNWOOD, ,42.01023999987615,-87.72852000039768,IL,7117 N CRAWFORD AVE,60712
1407,VICTORY APOSTOLIC FAITH CHURCH,CHICAGO,APOSTOLIC FAITH CHURCH,41.74713000014947,-87.65209000025328,IL,8053 S MAY ST,60620
1408,SAINT PAUL SOUTH AME CHURCH,CHICAGO,AFRICAN METHODIST EPISCOPAL CHURCH,41.733480000201894,-87.54257999986709,IL,8911 S MACKINAW AVE,60617
1409,SOUTH SHORE BAPTIST CHURCH,CHICAGO,BAPTIST GENERAL CONFERENCE,41.75265999975926,-87.55058000006693,IL,7877 S COLES AVE,60649
1410,EIGHTH CHURCH CHRISTIAN SCIENCE,CHICAGO,CHRISTIAN SCIENCE CHURCHES,41.8037300004392,-87.60259999959027,IL,935 E 50TH ST,60615
1411,CITY CHURCH,CHICAGO,NON-DENOMINATIONAL CHURCHES,41.89581999969329,-87.64875999957428,IL,777 N GREEN ST,60642
1412,LAKEVIEW CHURCH OF CHRIST,CHICAGO,CHURCHES OF CHRIST (NON-INSTRUMENTAL),41.96764999994758,-87.66315000037218,IL,4716 N MALDEN ST,60640
1413,ROMANIAN CHRISTIAN GOSPEL,HARWOOD HEIGHTS,NON CLASSIFIED AFFILIATION,41.960830000204396,-87.7966799995823,IL,6739 W MONTROSE AVE,60706
1414,NORTH HISPANIC SDA CHURCH,CHICAGO,SEVENTH DAY ADVENTISTS,41.96348999966381,-87.68161000000146,IL,2120 W SUNNYSIDE AVE,60625
1415,ST CATHERINE OF ALEXANDRIA,OAK LAWN,ROMAN CATHOLIC CHURCH,41.69863999973626,-87.72331000025628,IL,4100 W 107TH ST,60453
1416,ST CATHERINE-ALEXANDRIA PARISH,OAK LAWN,ROMAN CATHOLIC CHURCH,41.69945999977921,-87.72366000020878,IL,10621 KEDVALE AVE,60453
1417,COMMUNITY OF CHRIST,CHICAGO,COMMUNITY OF CHRIST (RLDS),41.9601900003683,-87.7700299999845,IL,5701 W MONTROSE AVE,60634
1418,BAHA'L NATIONAL FAITH,WILMETTE,BAHA'I FAITH,42.07503999969629,-87.69193000016935,IL,401 GREENLEAF AVE,60091
1419,LYONS EVANGELICAL FREE CHURCH,LYONS,EVANGELICAL FREE CHURCH,41.81630000004503,-87.8193400004406,IL,4147 PRESCOTT AVE,60534
1420,COMMONWEALTH COMMUNITY CH,CHICAGO,INTERNATIONAL COUNCIL COMMUNITY CHURCHES,41.747500000124944,-87.62851000013637,IL,140 W 81ST ST,60620
1421,SOUTHLAWN UNITED METHODIST CHR,CHICAGO,UNITED METHODIST CHURCH,41.7386900003433,-87.58025999999899,IL,8605 S CREGIER AVE,60617
1422,ROBINSON CHAPEL AME CHURCH,CHICAGO,AFRICAN METHODIST EPISCOPAL CHURCH,41.7508200003428,-87.55663999983608,IL,7950 S BURNHAM AVE,60617
1423,RAVENSWOOD BUDLONG CONGRGTN,CHICAGO,NON CLASSIFIED AFFILIATION,41.91089999993511,-87.67873999985108,IL,1630 N MILWAUKEE AVE,60647
1424,LUBAVITCH CHABAD LINCOLN PARK,CHICAGO, ,41.92257000030531,-87.64207000043012,IL,515 W GRANT PL,60614
1425,CHICAGO CHIN BAPTIST CHR INC,CHICAGO,BAPTIST - OTHER,41.98460999965181,-87.65667999968218,IL,623 W THOME AVE # 1,60660
1426,HICKORY HILLS PRESBYTERIAN CHR,HICKORY HILLS,PRESBYTERIAN CHURCH (USA),41.71874999991263,-87.82821999985305,IL,8426 W 95TH ST,60457
1427,ROBERTS ROAD BIBLE CHURCH,JUSTICE,INDEPENDENT FUNDAMENTAL CHURCHES,41.73754000037076,-87.8183800002368,IL,8419 S ROBERTS RD,60458
1428,SAINT GREGORY THE GREAT CATHOLIC CHURCH,CHICAGO,ROMAN CATHOLIC CHURCH,41.9827599997742,-87.67214000036068,IL,5545 N PAULINA ST,60640
1429,UNITED BY FAITH LUTHERAN CHR,EVERGREEN PARK,EVANGELICAL LUTHERAN CHURCH IN AMERICA,41.71577000008551,-87.70313000044911,IL,3240 W 98TH ST,60805
1430,MARY F BUTLER MEMORIAL AME,CHICAGO,AFRICAN METHODIST EPISCOPAL CHURCH,41.82461000015144,-87.70913000014934,IL,3358 W 38TH ST,60632
1431,GREATER HOPE FELLOWSHIP CHURCH,CHICAGO,NON CLASSIFIED AFFILIATION,41.86650999973676,-87.72163000012438,IL,3840 W ROOSEVELT RD,60624
1432,CHURCH OF THE HOLY CROSS,CHICAGO,EPISCOPAL CHURCH,41.69106999958086,-87.65238000013687,IL,1201 W 111TH PL,60643
1433,FELLOWSHIP UNITED MTHDST CHR,CHICAGO,UNITED METHODIST CHURCH,41.690770000135444,-87.60825000023726,IL,11211 S SAINT LAWRENCE AVE,60628
1434,FIRST ANVIL BAPTIST CHURCH,CHICAGO,BAPTIST - OTHER,41.7539899999386,-87.60566000040865,IL,7730 S COTTAGE GROVE AVE,60619
1435,SANTA LUCIA-SANTA MARIA,CHICAGO,ROMAN CATHOLIC CHURCH,41.838969999565904,-87.63325999974916,IL,3022 S WELLS ST,60616
1436,SAINT IGNATIUS CATHOLIC CHURCH,CHICAGO,ROMAN CATHOLIC CHURCH,42.00186000013895,-87.66547000034018,IL,6559 N GLENWOOD AVE,60626
1437,PILGRIMAGE PRESBYTERIAN CHURCH,CHICAGO,PRESBYTERIAN CHURCH (USA),41.694790000258365,-87.67413000039915,IL,10924 S HOYNE AVE,60643
1438,SAN LUCAS UCC,CHICAGO,UNITED CHURCH OF CHRIST,41.9107700002354,-87.69985000027725,IL,2914 W NORTH AVE,60647
1439,HARVEST CHRISTIAN CTR,CHICAGO,ASSEMBLIES OF GOD,41.95404999960783,-87.73429000028324,IL,4020 N TRIPP AVE,60641
1440,ST SIMEON SERBIAN ORTHODOX CHR,CHICAGO,SERBIAN EASTERN ORTHODOX CHURCH,41.688109999776714,-87.53274999981261,IL,3737 E 114TH ST,60617
1441,HOLY RESURRECTION CHURCH,CHICAGO,SERBIAN EASTERN ORTHODOX CHURCH,41.982939999981056,-87.82737999978713,IL,5701 N REDWOOD DR,60631
1442,ST JOHN BREBEUF CHURCH,NILES,BRETHREN - OTHER,42.03256000034378,-87.80463000017431,IL,8301 N HARLEM AVE,60714
1443,ST JUDE THADDEUS CATHOLIC CHR,CHICAGO,ROMAN CATHOLIC CHURCH,41.720020000023055,-87.63272000002792,IL,9540 S HARVARD AVE,60628
1444,NEW BEGINNINGS IN CHRIST,CHICAGO,NON-DENOMINATIONAL CHURCHES,41.75870000040476,-87.61164999964774,IL,524 E 75TH ST,60619
1445,STOREHOUSE COVENANT CHURCH,CHICAGO,EVANGELICAL COVENANT CHURCH,41.795449999917594,-87.59967999983206,IL,1100 E 55TH ST,60615
1446,SPANISH CHRISTIAN CHURCH,CHICAGO,NON CLASSIFIED AFFILIATION,41.96333999994107,-87.66806999973068,IL,1507 W SUNNYSIDE AVE,60640
1447,FOURTH CONGREGATIONAL CHURCH,CHICAGO,CONGREGATIONAL CHRISTIAN CHURCHES,41.9294300000945,-87.69357000025525,IL,2625 N TALMAN AVE,60647
1448,OUR COMMUNITY OF ILLINOIS,CHICAGO,NON CLASSIFIED AFFILIATION,41.97807000023039,-87.68277000043514,IL,2118 W BERWYN AVE,60625
1449,IRVING PARK LUTHERAN CHURCH,CHICAGO,EVANGELICAL LUTHERAN CHURCH IN AMERICA,41.95584000031579,-87.72664000003596,IL,3938 W BEL PLAINE AVE,60618
1450,KOREAN YOUNG SAENG UCC,CHICAGO,UNITED CHURCH OF CHRIST,41.9664599999291,-87.76046999979064,IL,5320 W GIDDINGS ST,60630
1451,ARNETT AME CHURCH,CHICAGO,AFRICAN METHODIST EPISCOPAL CHURCH,41.68999000013844,-87.65897999962726,IL,11218 S BISHOP ST,60643
1452,CHICAGO REDEEMER,CHICAGO,LUTHERAN - OTHER,41.909339999941096,-87.79394999959277,IL,6740 W NORTH AVE,60707
1453,NEW BEGINNINGS FULL GOSPEL CHR,CHICAGO,PENTECOSTAL - OTHER,41.72773999990113,-87.60807000003047,IL,658 E 92ND ST,60619
1454,TABERNACLE BAPTIST CHURCH,CHICAGO,PROGRESSIVE NATIONAL BAPTIST CONVENTION,41.81962999982471,-87.6215999998401,IL,4130 S INDIANA AVE,60653
1455,THRONE OF GRACE,CHICAGO,BAPTIST - OTHER,41.81500999991164,-87.61236999957578,IL,552 E 44TH ST,60653
1456,LEGION OF MARY,CHICAGO,BAPTIST - OTHER,41.89913999991114,-87.68571000021632,IL,2327 W AUGUSTA BLVD,60622
1457,ST NICHOLAS ROMAN CATHOLIC CHR,EVANSTON,ROMAN CATHOLIC CHURCH,42.03228999958384,-87.68676000007389,IL,806 RIDGE AVE,60202
1458,IGLESIA EVANGELICA CRISTIANA,CICERO,EVANGELICAL CHRISTIAN CHURCH,41.840439999906096,-87.77380000026977,IL,2730 S AUSTIN BLVD,60804
1459,GREATER NEW BIRTH C O G I C,CHICAGO,CHURCH OF GOD IN CHRIST,41.880130000099484,-87.74418000040663,IL,4733 W MADISON ST,60644
1460,ST STEPHEN AME,CHICAGO,AFRICAN METHODIST EPISCOPAL CHURCH,41.883230000064486,-87.70227000036022,IL,3042 W WASHINGTON BLVD,60612
1461,FUENTE DE AMOR CHURCH OF GOD,CHICAGO,"CHURCH OF GOD (CLEVELAND, TN)",41.92409999981521,-87.73384999977765,IL,4255 W FULLERTON AVE,60639
1462,RESURRECTION CATHOLIC CHURCH,CHICAGO,ROMAN CATHOLIC CHURCH,41.93675999997407,-87.69911000032624,IL,2840 W NELSON ST,60618
1463,RCCG NEW HOPE ASSEMBLY,CHICAGO,NON CLASSIFIED AFFILIATION,42.01237000007552,-87.69848999961374,IL,2748 W TOUHY AVE,60645
1464,SAINT MARTHA CATHOLIC CHURCH,MORTON GROVE,ROMAN CATHOLIC CHURCH,42.03622000005299,-87.78088999987358,IL,8523 GEORGIANA AVE,60053
1465,LIVING HOPE CHURCH CHICAGO,CHICAGO,PRESBYTERIAN CHURCH IN AMERICA,41.77806000016892,-87.6062899997836,IL,6414 S COTTAGE GROVE AVE,60637
1466,HOLY TRINITY CATHOLIC MISSION,CHICAGO,ROMAN CATHOLIC CHURCH,41.902380000037,-87.6632299995648,IL,1118 N NOBLE ST,60642
1467,SAINT CHRYSOSTOMS EPISCOPAL CHURCH,CHICAGO,EPISCOPAL CHURCH,41.90841000022141,-87.6305499997826,IL,1424 N DEARBORN PKWY,60610
1468,BLUE ISLAND HISPANIC SEVENTH,CHICAGO,SEVENTH DAY ADVENTISTS,41.77642999964485,-87.70747999960224,IL,3344 W 64TH PL,60629
1469,SAINT GALL CATHOLIC CHURCH,CHICAGO,ROMAN CATHOLIC CHURCH,41.79314999997257,-87.70414999982262,IL,5511 S SAWYER AVE,60629
1470,ZION TEMPLE CHURCH OF GOD,CHICAGO,CHURCH OF GOD IN CHRIST,41.861940000330776,-87.72540999997148,IL,1414 S PULASKI RD,60623
1471,VINEYARD CHRISTIAN FELLOWSHIP,OAK PARK,ASSOCIATION OF VINEYARD CHURCHES,41.87596000025388,-87.79203000008442,IL,705 JACKSON BLVD,60304
1472,UNION STAR BAPTIST CHURCH,CHICAGO,BAPTIST - OTHER,41.895110000226396,-87.72432999962973,IL,3915 W CHICAGO AVE,60651
1473,IRAN HEBREW CONGREGATION,SKOKIE, ,42.03384000001603,-87.7241900003682,IL,3820 MAIN ST,60076
1474,INTERNATIONAL BIBLE FELLOWSHIP OF C M A,CHICAGO,CHRISTIAN & MISSIONARY ALLIANCE,41.746969999965586,-87.60386999970069,IL,695 E 93RD ST,60619
1475,PATHWAY TO VICTORY BAPTIST CHR,CHICAGO,BAPTIST - OTHER,41.7150199996733,-87.56667999968221,IL,9907 S CRANDON AVE,60617
1476,RESURRECTION MISSIONARY BAPT,CHICAGO,SOUTHERN BAPTIST CONVENTION,41.763300000294805,-87.65030000044464,IL,7201 S CARPENTER ST,60621
1477,UNION TABERNACLE BAPTIST CHR,CHICAGO,BAPTIST - OTHER,41.773859999839146,-87.63475000011238,IL,6623 S STEWART AVE,60621
1478,HOLY FAMILY LUTHERAN CHURCH,CHICAGO,EVANGELICAL LUTHERAN CHURCH IN AMERICA,41.90172000017793,-87.64290000003496,IL,542 W HOBBIE ST,60610
1479,IMMANUEL LUTHERAN CHURCH,EVANSTON,EVANGELICAL LUTHERAN CHURCH IN AMERICA,42.0439300003693,-87.68087000005045,IL,616 LAKE ST,60201
1480,TOTAL WORD EMPOWERMENT MNSTRS,CHICAGO,NON CLASSIFIED AFFILIATION,41.73660999975175,-87.71968999969368,IL,3933 W COLUMBUS AVE,60652
1481,CROSSROADS ASSEMBLY OF GOD,BURBANK,ASSEMBLIES OF GOD,41.73767999963235,-87.77394000043063,IL,8461 STATE RD,60459
1482,JUBILEE CME TEMPLE,CHICAGO,CHRISTIAN METHODIST EPISCOPAL CHURCH,41.787649999947575,-87.62180999963175,IL,114 E 59TH ST,60637
1483,CALVERT HOUSE CATHOLIC CHURCH,CHICAGO,ROMAN CATHOLIC CHURCH,41.790959999704285,-87.59793000006943,IL,5735 S UNIVERSITY AVE,60637
1484,ST MAURICE CHURCH,CHICAGO,ROMAN CATHOLIC CHURCH,41.828049999607856,-87.67730999955677,IL,3615 S HOYNE AVE,60609
1485,SOUTH LOOP CHURCH,CHICAGO,ASSEMBLIES OF GOD,41.852659999559364,-87.62843999960626,IL,55 W CERMAK RD,60616
1486,GOOD COW CO INC,CHICAGO,NON CLASSIFIED AFFILIATION,41.878790000358265,-87.65211000027625,IL,1001 W ADAMS ST,60607
1487,EVANSTON GOSPEL CHAPEL,EVANSTON,NON CLASSIFIED AFFILIATION,42.03000000009996,-87.68990999964672,IL,639 ASBURY AVE,60202
1488,GRACE COMMUNITY CHRISTIAN CHR,OAK LAWN,CHRISTIAN REFORMED CHURCH,41.703530000409216,-87.72407999979214,IL,10415 KEDVALE AVE,60453
1489,LOGOS BAPTIST ASSEMBLY,CHICAGO,NATIONAL BAPTIST CONVENTION-USA,41.696889999973564,-87.64214999962275,IL,10833 S HALSTED ST,60628
1490,MANDELL UNITED METHODIST CHURCH,CHICAGO,UNITED METHODIST CHURCH,41.8741199999381,-87.7491300002493,IL,5000 W CONGRESS PKWY,60644
1491,FIRST PROGRESSIVE CHURCH,CHICAGO,PRESBYTERIAN/REFORMED - OTHER,41.76215000032232,-87.62276000027373,IL,7259 S WABASH AVE,60619
1492,NEW JERUSALEM PENTECOSTAL CHURCH,CHICAGO,PENTECOSTAL ASSEMBLIES OF THE WORLD,41.781300000294834,-87.65299000038817,IL,6201 S MAY ST,60621
1493,ST ITA'S CHURCH,CHICAGO,ROMAN CATHOLIC CHURCH,41.98179000000857,-87.66020999969169,IL,5500 N BROADWAY ST,60640
1494,RESURRECTION CHURCH OF CHICAGO,CHICAGO,AMERICAN BAPTIST CHURCHES/USA,41.70000000039977,-87.61371000021632,IL,10700 S KING DR,60628
1495,LIGHT OF WORLD CHURCH,CICERO,CHRISTIAN - OTHER,41.86163000042421,-87.77068999984357,IL,1400 S 58TH CT,60804
1496,ELSTON AVE UNITED MTHDST CHR,CHICAGO,UNITED METHODIST CHURCH,41.98770999961687,-87.7737699997856,IL,5850 N ELSTON AVE,60646
1497,FIRST CONGREGATIONAL UCC,SUMMIT ARGO,UNITED CHURCH OF CHRIST,41.77833999959137,-87.80711999988807,IL,7438 W 62ND PL,60501
1498,GRACE PLACE CHURCH OF GOD,CHICAGO,"CHURCH OF GOD (ANDERSON, IN)",41.72816000038375,-87.6665499997826,IL,9101 S BEVERLY AVE,60620
1499,JOY CHRISTIAN FELLOWSHIP CENTER,CHICAGO, ,41.74040000005999,-87.65708999970371,IL,78455 ASHLAND AVE,60620
1500,ZION LUTHERAN CHURCH,CHICAGO,EVANGELICAL LUTHERAN CHURCH IN AMERICA,41.74120000007997,-87.5851699997956,IL,8455 S STONY ISLAND AVE,60617
